"value","bin","mean","sd","sem"
10,0,0.0811821881604257,0.0321673705551476,0.000318488817377699
10,1,0.0960231034754912,0.0315280202206167,0.00031215861604571
10,2,0.101454478384698,0.0325609818178596,0.000322385958592669
10,3,0.111967972339655,0.0282987764924668,0.000280185905866008
10,4,0.112822577134813,0.0300189380638465,0.000297217208552935
10,5,0.126144177240687,0.0422870113731456,0.000418683280922234
10,6,0.102922428311724,0.0326238215384712,0.000323008134044269
10,7,0.095390801194251,0.0261073752768263,0.000258488864126993
10,8,0.0857116807285163,0.0252191444206147,0.000249694499214007
10,9,0.0718370330478686,0.0299663402215485,0.000296696437837114
10,10,0.0145435599818706,0.0326723829711486,0.000323488940308402
11,0,0.0187208827406484,0.0290285139817116,0.000287411029521897
11,1,0.112594672965056,0.0555621057896457,0.000550119859303423
11,2,0.112300878106714,0.0412818742321233,0.000408731428040825
11,3,0.11842604096841,0.0376829306271652,0.000373098323041239
11,4,0.127429388918064,0.044777697316216,0.000443343537784317
11,5,0.14850896429899,0.130517509147991,0.00129225256582169
11,6,0.0929865238938527,0.0247677225806417,0.000245224976045958
11,7,0.0834850670055736,0.0295013902085665,0.000292092972362045
11,8,0.0723078455200172,0.0338361449390317,0.000335011336030017
11,9,0.061170844870791,0.0363120197397033,0.000359524947917855
11,10,0.0520688907118831,0.041026113814936,0.000406199146682535
20,0,0.0823089373661156,0.0489415560957894,0.000484569862334549
20,1,0.0874290171445631,0.0438253182556879,0.000433914042135524
20,2,0.0917757654401248,0.041367235596625,0.000409576590065595
20,3,0.119783614588058,0.0339649562055165,0.000336286695104124
20,4,0.128969165572538,0.0395503345050848,0.000391587470347374
20,5,0.115976400017669,0.0377129679154295,0.000373395721934946
20,6,0.104432625735355,0.0276272632888262,0.000273537260285408
20,7,0.0946213947146517,0.0252173980147844,0.000249677208067172
20,8,0.0878925623983517,0.0291666614984865,0.000288778826717688
20,9,0.0443556696294128,0.0496476461639181,0.0004915608531081
20,10,0.0424548473931593,0.0506872562624845,0.000501854022400837
21,0,0.0076411282469661,0.0187182159332716,0.000185328870626452
21,1,0.100918362090807,0.0547978284563461,0.000542552756993526
21,2,0.113702238420279,0.0423696265644154,0.000419501253113023
21,3,0.126678564209368,0.0397527189449781,0.000393591276682952
21,4,0.139042887826621,0.0302654833525039,0.000299658251014891
21,5,0.14595193903794,0.0359293221982674,0.000355735863349182
21,6,0.118499073826848,0.0415635435923295,0.000411520233587421
21,7,0.101443709851929,0.0424776407436762,0.000420570700432438
21,8,0.068941062100772,0.0303000594212108,0.00030000058832882
21,9,0.0575648186200665,0.036008081890892,0.00035651566228606
21,10,0.0196162157684025,0.0362456156061271,0.000358867481248783
22,0,0.0190281485105038,0.035786136271121,0.000354318180902189
22,1,0.0319912173353796,0.0571031250938845,0.000565377476177074
22,2,0.117021253432219,0.0640149031954209,0.00063381092272694
22,3,0.123386476798404,0.0361915761238946,0.000358332436870243
22,4,0.132646009792187,0.0342190357605912,0.000338802334263279
22,5,0.146924206131769,0.0361486189461427,0.000357907118278641
22,6,0.126153899519216,0.0453412068363419,0.000448922839963781
22,7,0.115699718792556,0.0374802413376354,0.00037109149839243
22,8,0.0844266409485454,0.0344688839622866,0.000341276078834521
22,9,0.0597552848323173,0.0356995290401814,0.000353460683566153
22,10,0.0429671439069041,0.0360474483871174,0.000356905429575419
30,0,0.0939074939519679,0.0689519903485013,0.000682692973747538
30,1,0.11491670482094,0.059708346434227,0.000591171746873535
30,2,0.138907954139359,0.0586541127108377,0.000580733789216215
30,3,0.158893969774378,0.0475745702529639,0.000471035349039246
30,4,0.141320421772767,0.0480653980190716,0.000475895029891798
30,5,0.132742007014603,0.0559385478418456,0.000553847008335105
30,6,0.116908002172279,0.0536529350657874,0.000531217178869182
30,7,0.0715372895752172,0.056116203487865,0.000555605975127376
30,8,0.00664654990115127,0.0167965609983551,0.00016630258414213
30,9,0.0118188061303045,0.0319996781197656,0.000316828496235303
30,10,0.0124008007470325,0.0393978745518337,0.000390077965859739
31,0,0.0205449025490868,0.0401702013419713,0.000397724765762092
31,1,0.112126736110311,0.0831294163007612,0.000823063527730309
31,2,0.130475578132272,0.0612822765511255,0.00060675521337748
31,3,0.149287603724417,0.0498425631254634,0.000493490724014489
31,4,0.152869019685294,0.0564270632539376,0.000558683794593441
31,5,0.136285275289754,0.032770708796388,0.000324462463330574
31,6,0.107740810868587,0.0472727841361227,0.000468047367684384
31,7,0.0931549207105985,0.0534388147740083,0.00052909717598028
31,8,0.0708903671367852,0.0679170470980549,0.00067244601087183
31,9,0.0159646223504687,0.0403279676859443,0.000399286808771726
31,10,0.0106601634424271,0.0269552676643123,0.000266883838260518
32,0,0.024081722013173,0.0484471212477378,0.000479674467799384
32,1,0.0358011145888886,0.0570313203091392,0.00056466653771425
32,2,0.108990181945842,0.0806913459579846,0.000798924217405788
32,3,0.126117883081556,0.071494957375305,0.000707870865102029
32,4,0.125694571923351,0.06733600961014,0.000666693164456832
32,5,0.122967353602404,0.0692241682821607,0.000685387804773869
32,6,0.1780335067415,0.171606942429617,0.001699078637917
32,7,0.115694504733832,0.0851188683317249,0.000842761072591336
32,8,0.078509015526244,0.0534370899479048,0.000529080098494107
32,9,0.0508137744394002,0.0470441273712361,0.00046578343931917
32,10,0.033296371403809,0.0506094406002881,0.000501083570299882
33,0,0.0214973620431507,0.0376078332054183,0.000372354784212062
33,1,0.0441741709667786,0.0682749119671461,0.000675989227397486
33,2,0.0443571153926776,0.0686773540895507,0.000679973802866838
33,3,0.136100354273825,0.0928958645352243,0.00091976103500222
33,4,0.130348572816901,0.036085124573477,0.000357278461123535
33,5,0.14060450997987,0.0460231557973625,0.000455674809874876
33,6,0.130786635980894,0.0466452163027729,0.00046183382477993
33,7,0.119950779832357,0.0474486116651816,0.000469788234308729
33,8,0.0798664598726717,0.0560906408606157,0.000555352879808076
33,9,0.077098541785304,0.0559973604407234,0.000554429311294291
33,10,0.0752154970555703,0.0596123305173044,0.000590221094230737
40,0,0.0991224943120377,0.0491696688192582,0.000486828404151071
40,1,0.143287121054743,0.0526243717122835,0.000521033383289935
40,2,0.156777616334272,0.0437793365705243,0.000433458777925983
40,3,0.154017487044653,0.0423060755799085,0.000418872035444638
40,4,0.135872212915545,0.0355888355661799,0.000352364708576039
