"id";"itemTime";"RT";"trial.";"value";"access";"observation";"bin0";"bin1";"bin2";"bin3";"bin4";"bin5";"bin6";"bin7";"bin8";"bin9";"bin10"
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2";"1,48E+12";48433;1;100;10;0;0.28;0.32;0;0;0;0;0;0;0;0;0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2";"1,48E+12";91363;2;31;3;1;0;0.77;0.65;0.59;0.44;0.31;0.22;0;0;0;0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2";"1,48E+12";114111;3;102;10;2;0;0.99;0.99;0.4;0;0;0.02;0.01;0.04;0.02;0.03
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2";"1,48E+12";134237;4;74;7;4;0;0.99;0.99;0.99;0.99;0.71;0.45;0.22;0;0;0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2";"1,48E+12";150360;5;87;8;7;0;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.34;0.21;0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2";"1,48E+12";170811;6;54;5;4;0;0.99;0.99;0.99;0.99;0.99;0.76;0.55;0.39;0.23;0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2";"1,48E+12";192823;7;99;9;9;0;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.66
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2";"1,48E+12";210460;8;101;10;1;0;0.99;0.73;0.42;0;0;0;0.03;0.01;0;0.01
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2";"1,48E+12";254591;9;44;4;4;0;0.99;0.99;0.99;0.99;0.74;0.61;0.37;0.3;0.18;0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2";"1,48E+12";287277;10;22;2;2;0;0.99;0.99;0.72;0.67;0.61;0.54;0.42;0.33;0.21;0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2";"1,48E+12";338052;11;21;2;1;0;0.99;0.99;0.99;0.7;0.54;0.43;0.36;0.32;0.23;0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2";"1,48E+12";353987;12;51;5;1;0;0.99;0.76;0.62;0.38;0.2;0;0;0.03;0.03;0
"7c130511e39b82c8d9b2fee9e946c668ea8cee3b52c55b3e904d927a1ab80fd2";"1,48E+12";373769;13;108;10;8;0;0.96;0.95;0.95;0.95;0.96;0.98;0.94;0.95;0.05;0.03
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312";"1,48E+12";62236;1;105;10;5;0.91;0.77;0.49;0.75;0.23;0.99;0.2;0.5;0.99;0.47;0.15
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312";"1,48E+12";111020;2;63;6;3;0.22;0.72;0.5;0.24;0.74;0.21;0.77;0.5;0.78;0.24;0.5
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312";"1,48E+12";141054;3;86;8;6;0.72;0.5;0;0.5;0.8;0.99;0.72;0.5;0.23;0.68;0.84
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312";"1,48E+12";184347;4;101;10;1;0.1;0.05;0.24;0.44;0.16;0.16;0.77;0.21;0.21;0.23;0.03
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312";"1,48E+12";248944;5;103;10;3;0.78;0.5;0.19;0.09;0.03;0.8;0.5;0.06;0.9;0.21;0.5
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312";"1,48E+12";320767;6;62;6;2;0.76;0.3;0.25;0.05;0.94;0.22;0.73;0.5;0.26;0.72;0
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312";"1,48E+12";352818;7;97;9;7;0.89;0.78;0.5;0.06;0.74;0.25;0.99;0.27;0.8;0.99;0.89
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312";"1,48E+12";388791;8;91;9;1;0.1;0.3;0.72;0.28;0.05;0.21;0.01;0.37;0.19;0.48;0
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312";"1,48E+12";428503;9;95;9;5;0.78;0.74;0.94;0.5;0.05;0.87;0.23;0.82;0.69;0.18;0
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312";"1,48E+12";464248;10;75;7;5;0.73;0.48;0.76;0;0.26;0.99;0.81;0.5;0.99;0.21;0.5
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312";"1,48E+12";495136;11;87;8;7;0.99;0.78;0.72;0.5;0;0.67;0.3;0.72;0.99;0.24;0.68
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312";"1,48E+12";528652;12;52;5;2;0.18;0.49;0.03;0.8;0.19;0.99;0.5;0.21;0.68;0.01;0.23
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312";"1,48E+12";559165;13;61;6;1;0.01;0.23;0.5;0.99;0.34;0.7;0.5;0.77;0.24;0.43;0.99
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb";"1,48E+12";35829;1;90;9;0;0.29;0.78;0;0.03;0.04;0.06;0.01;0.04;0.01;0.06;0.01
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb";"1,48E+12";87246;2;31;3;1;0.28;0.72;0.74;0.71;0.76;0.76;0.29;0.24;0.02;0.04;0.03
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb";"1,48E+12";511648;3;51;5;1;0.75;0.74;0.75;0.75;0.74;0.28;0;0.06;0.01;0.04;0.01
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb";"1,48E+12";557439;4;43;4;3;0.27;0.73;0.74;0.73;0.73;0.67;0.23;0.02;0;0.02;0.03
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb";"1,48E+12";3003586;5;22;2;2;0.24;0.72;0.74;0.69;0.69;0.67;0.71;0.75;0.26;0.01;0.03
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb";"1,48E+12";3041090;6;55;5;5;0.29;0.74;0.73;0.73;0.7;0.21;0.02;0.03;0.06;0;0.04
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb";"1,48E+12";3065973;7;61;6;1;0.73;0.73;0.72;0.75;0.73;0;0.03;0.01;0.03;0.01;0.03
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb";"1,48E+12";3098088;8;75;7;5;0.75;0.75;0.75;0.75;0.04;0.03;0.03;0;0.01;0.03;0.01
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb";"1,48E+12";3127658;9;102;10;2;0.98;0.01;0.04;0.01;0.01;0.04;0.03;0.02;0.03;0.02;0.01
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb";"1,48E+12";3367315;10;88;8;8;0.79;0.75;0.81;0.01;0.03;0.03;0.06;0.01;0.02;0.04;0.03
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb";"1,48E+12";3386337;11;99;9;9;0.7;0.71;0.01;0.02;0.04;0.01;0.03;0.03;0.04;0;0.01
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb";"1,48E+12";3429556;12;71;7;1;0.78;0.74;0.75;0.74;0;0.04;0.02;0.02;0.03;0.03;0.04
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb";"1,48E+12";3479112;13;50;5;0;0.7;0.74;0.73;0.71;0.71;0.72;0.02;0.03;0.03;0.01;0.01
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a";"1,48E+12";70362;1;109;10;9;0;0;0;0;0;0;0;0;0;0.99;0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a";"1,48E+12";111257;2;73;7;3;0;0;0;0.21;0.75;0.55;0.12;0;0;0;0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a";"1,48E+12";142523;3;70;7;0;0.63;0.6;0.27;0.17;0;0;0;0;0;0;0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a";"1,48E+12";164409;4;104;10;4;0;0;0;0;0.99;0;0;0;0;0;0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a";"1,48E+12";259757;5;62;6;2;0;0;0.35;0.66;0.56;0.31;0.16;0;0;0;0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a";"1,48E+12";281020;6;90;9;0;0.69;0.35;0;0;0;0;0;0;0;0;0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a";"1,48E+12";305125;7;50;5;0;0.32;0.61;0.44;0.31;0.26;0.17;0;0;0;0;0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a";"1,48E+12";328967;8;51;5;1;0;0.28;0.71;0.6;0.33;0.17;0.15;0;0;0;0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a";"1,48E+12";366110;9;96;9;6;0;0;0;0;0;0;0.28;0.72;0;0;0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a";"1,48E+12";389466;10;65;6;5;0;0;0;0;0;0.1;0.23;0.7;0.58;0.28;0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a";"1,48E+12";439734;11;84;8;4;0;0;0;0;0.27;0.67;0.29;0;0;0;0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a";"1,48E+12";462795;12;53;5;3;0;0;0;0.15;0.31;0.51;0.68;0.51;0.15;0;0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a";"1,48E+12";498096;13;32;3;2;0;0;0.14;0.21;0.24;0.32;0.44;0.68;0.44;0.19;0
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349";"1,48E+12";70765;1;81;8;1;0.02;0.8;0.78;0.25;0.02;0.04;0.06;0.05;0.04;0.04;0.04
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349";"1,48E+12";254276;2;74;7;4;0.04;0.04;0.01;0.04;0.69;0.73;0.64;0.48;0.33;0.27;0.29
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349";"1,48E+12";325335;3;70;7;0;0.61;0.71;0.29;0.23;0.05;0.04;0.04;0.04;0.04;0.05;0.05
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349";"1,48E+12";392821;4;76;7;6;0.02;0.05;0.01;0.04;0.04;0.02;0.72;0.66;0.61;0.22;0.05
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349";"1,48E+12";476598;5;107;10;7;0.02;0;0;0;0;0;0;0.99;0;0;0
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349";"1,48E+12";576875;6;85;8;5;0.04;0.01;0.05;0.04;0.04;0.86;0.61;0.31;0.04;0.04;0.06
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349";"1,48E+12";641422;7;11;1;1;0.03;0.51;0.65;0.67;0.66;0.7;0.78;0.78;0.71;0.64;0.52
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349";"1,48E+12";684078;8;96;9;6;0.01;0.04;0.04;0.04;0.02;0.02;0.82;0.61;0.02;0.02;0.02
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349";"1,48E+12";798773;9;87;8;7;0.04;0.03;0.04;0.04;0.03;0.04;0.02;0.83;0.59;0.51;0.05
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349";"1,48E+12";848246;10;93;9;3;0.04;0.04;0.04;0.93;0.62;0.04;0.04;0.02;0.02;0.05;0.05
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349";"1,48E+12";945913;11;88;8;8;0.03;0.04;0.03;0.06;0;0;0.05;0.04;0.9;0.71;0.53
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349";"1,48E+12";1093824;12;99;9;9;0.04;0.05;0.05;0.04;0.02;0.01;0.01;0.02;0.04;0.85;0.4
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349";"1,48E+12";1231778;13;60;6;0;0.84;0.73;0.67;0.56;0.4;0.04;0.02;0.04;0.05;0.04;0.02
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8";"1,48E+12";47098;1;11;1;1;0.24;0.25;0.49;0.49;0.73;0.72;0.3;0.29;0.27;0;0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8";"1,48E+12";86293;2;30;3;0;0.02;0.27;0.25;0.26;0.73;0.72;0.72;0.72;0;0.02;0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8";"1,48E+12";122280;3;77;7;7;0.73;0.72;0.25;0.24;0;0;0;0;0;0;0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8";"1,48E+12";1079767;4;81;8;1;0.24;0.23;0.23;0;0;0.01;0;0;0;0;0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8";"1,48E+12";1196080;5;87;8;7;0.24;0.24;0.23;0;0;0;0;0;0;0;0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8";"1,48E+12";1242066;6;108;10;8;0.99;0;0;0;0;0;0;0;0;0;0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8";"1,48E+12";1299547;7;64;6;4;0.99;0.75;0.25;0.25;0.24;0;0;0;0;0;0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8";"1,48E+12";1334037;8;74;7;4;0.26;0.75;0.23;0.24;0;0;0;0;0;0;0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8";"1,48E+12";1875132;9;109;10;9;0.76;0.26;0;0;0;0;0;0;0;0;0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8";"1,48E+12";1917967;10;63;6;3;0.26;0.27;0.75;0.73;0.21;0;0;0;0;0;0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8";"1,48E+12";1989925;11;40;4;0;0.22;0.73;0.73;0.73;0.72;0.74;0.22;0;0;0;0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8";"1,48E+12";2150264;12;33;3;3;0.25;0.73;0.73;0.73;0.24;0.23;0.23;0.24;0;0;0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8";"1,48E+12";2172869;13;84;8;4;0.26;0.72;0.72;0;0;0;0;0;0;0;0
"5c53835ebe84862a7a34137b9a41a536faecac316b5c998f0f51572aa20b4098";"1,48E+12";57838;1;93;9;3;0;0;0;0.71;0.72;0;0;0;0;0;0
