"id","itemTime","trialnumber","kind","expression","access","observation","state","RT","value"
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7","1,48E+12",1,"c","certainly",9,8,NA,16480,98
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7","1,48E+12",2,"f","probably",NA,NA,6,10355,NA
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7","1,48E+12",3,"c","probably",6,4,NA,12275,64
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7","1,48E+12",4,"f","possibly",NA,NA,4,12125,NA
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7","1,48E+12",5,"c","certainlyNot",9,8,NA,8675,98
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7","1,48E+12",6,"f","certainlyNot",NA,NA,9,7837,NA
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7","1,48E+12",7,"c","probablyNot",6,4,NA,8221,64
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7","1,48E+12",8,"f","certainly",NA,NA,9,5420,NA
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7","1,48E+12",9,"c","possibly",8,4,NA,11580,84
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7","1,48E+12",10,"f","probablyNot",NA,NA,2,11484,NA
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8","1,48E+12",1,"c","certainly",5,5,NA,17476,55
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8","1,48E+12",2,"f","possibly",NA,NA,8,17382,NA
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8","1,48E+12",3,"c","certainlyNot",10,7,NA,7744,107
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8","1,48E+12",4,"f","certainly",NA,NA,7,3316,NA
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8","1,48E+12",5,"c","probably",6,5,NA,4885,65
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8","1,48E+12",6,"f","certainlyNot",NA,NA,5,2385,NA
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8","1,48E+12",7,"c","possibly",6,5,NA,2985,65
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8","1,48E+12",8,"f","probablyNot",NA,NA,6,2950,NA
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8","1,48E+12",9,"c","probablyNot",5,5,NA,3153,55
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8","1,48E+12",10,"f","probably",NA,NA,6,2300,NA
"e2f6af357ff43e7239a7ca73ceceabeb70fd6e9130befcbab44b34478b61a14a","1,48E+12",1,"c","possibly",7,4,NA,19926,74
"e2f6af357ff43e7239a7ca73ceceabeb70fd6e9130befcbab44b34478b61a14a","1,48E+12",2,"f","probablyNot",NA,NA,4,6592,NA
"e2f6af357ff43e7239a7ca73ceceabeb70fd6e9130befcbab44b34478b61a14a","1,48E+12",3,"c","certainlyNot",10,0,NA,11225,100
"e2f6af357ff43e7239a7ca73ceceabeb70fd6e9130befcbab44b34478b61a14a","1,48E+12",4,"f","certainly",NA,NA,10,7388,NA
"e2f6af357ff43e7239a7ca73ceceabeb70fd6e9130befcbab44b34478b61a14a","1,48E+12",5,"c","certainly",10,10,NA,10459,1010
"e2f6af357ff43e7239a7ca73ceceabeb70fd6e9130befcbab44b34478b61a14a","1,48E+12",6,"f","certainlyNot",NA,NA,0,3123,NA
