"id";"itemTime";"trialnumber";"kind";"expression";"access";"observation";"state";"RT";"language";"comments";"engagement";"difficulty"
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7";"1,48E+12";1;"c";"cer";9;8;NA;16480;"English";"it was interesting and different";9;8
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7";"1,48E+12";2;"f";"prob";NA;NA;6;10355;"English";"it was interesting and different";9;8
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7";"1,48E+12";3;"c";"prob";6;4;NA;12275;"English";"it was interesting and different";9;8
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7";"1,48E+12";4;"f";"poss";NA;NA;4;12125;"English";"it was interesting and different";9;8
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7";"1,48E+12";5;"c";"cerNot";9;8;NA;8675;"English";"it was interesting and different";9;8
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7";"1,48E+12";6;"f";"cerNot";NA;NA;9;7837;"English";"it was interesting and different";9;8
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7";"1,48E+12";7;"c";"probNot";6;4;NA;8221;"English";"it was interesting and different";9;8
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7";"1,48E+12";8;"f";"cer";NA;NA;9;5420;"English";"it was interesting and different";9;8
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7";"1,48E+12";9;"c";"poss";8;4;NA;11580;"English";"it was interesting and different";9;8
"7c46b52f362cc99956e1a0d892d0a220ff835c0db120d640c05fe032027453d7";"1,48E+12";10;"f";"probNot";NA;NA;2;11484;"English";"it was interesting and different";9;8
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8";"1,48E+12";1;"c";"cer";5;5;NA;17476;"English";"none";5;5
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8";"1,48E+12";2;"f";"poss";NA;NA;8;17382;"English";"none";5;5
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8";"1,48E+12";3;"c";"cerNot";10;7;NA;7744;"English";"none";5;5
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8";"1,48E+12";4;"f";"cer";NA;NA;7;3316;"English";"none";5;5
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8";"1,48E+12";5;"c";"prob";6;5;NA;4885;"English";"none";5;5
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8";"1,48E+12";6;"f";"cerNot";NA;NA;5;2385;"English";"none";5;5
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8";"1,48E+12";7;"c";"poss";6;5;NA;2985;"English";"none";5;5
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8";"1,48E+12";8;"f";"probNot";NA;NA;6;2950;"English";"none";5;5
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8";"1,48E+12";9;"c";"probNot";5;5;NA;3153;"English";"none";5;5
"80b6fe93c1af07cb39a71311d82be37c6d502eeb681b547571e7c2e9276e91d8";"1,48E+12";10;"f";"prob";NA;NA;6;2300;"English";"none";5;5
"e2f6af357ff43e7239a7ca73ceceabeb70fd6e9130befcbab44b34478b61a14a";"1,48E+12";1;"c";"poss";7;4;NA;19926;"English";NA;7;5
"e2f6af357ff43e7239a7ca73ceceabeb70fd6e9130befcbab44b34478b61a14a";"1,48E+12";2;"f";"probNot";NA;NA;4;6592;"English";NA;7;5
"e2f6af357ff43e7239a7ca73ceceabeb70fd6e9130befcbab44b34478b61a14a";"1,48E+12";3;"c";"cerNot";10;0;NA;11225;"English";NA;7;5
"e2f6af357ff43e7239a7ca73ceceabeb70fd6e9130befcbab44b34478b61a14a";"1,48E+12";4;"f";"cer";NA;NA;10;7388;"English";NA;7;5
"e2f6af357ff43e7239a7ca73ceceabeb70fd6e9130befcbab44b34478b61a14a";"1,48E+12";5;"c";"cer";10;10;NA;10459;"English";NA;7;5
"e2f6af357ff43e7239a7ca73ceceabeb70fd6e9130befcbab44b34478b61a14a";"1,48E+12";6;"f";"cerNot";NA;NA;0;3123;"English";NA;7;5
"e2f6af357ff43e7239a7ca73ceceabeb70fd6e9130befcbab44b34478b61a14a";"1,48E+12";7;"c";"prob";7;4;NA;12491;"English";NA;7;5
"e2f6af357ff43e7239a7ca73ceceabeb70fd6e9130befcbab44b34478b61a14a";"1,48E+12";8;"f";"poss";NA;NA;5;7410;"English";NA;7;5
"e2f6af357ff43e7239a7ca73ceceabeb70fd6e9130befcbab44b34478b61a14a";"1,48E+12";9;"c";"probNot";7;2;NA;7327;"English";NA;7;5
