"id";"itemTime";"trial.";"condition";"value";"access";"observation";"answer";"RT";"language";"comments";"engagement";"difficulty"
"a5a9dcd28c578a92015209a480db30c0bf892168a9746b74808c30d909eeb3b5";"1,48762E+12";1;"none";107;10;7;"certainly";23547;"English";"It was fun";10;1
"a5a9dcd28c578a92015209a480db30c0bf892168a9746b74808c30d909eeb3b5";"1,48762E+12";2;"high";42;4;2;"possibly";12494;"English";"It was fun";10;1
"a5a9dcd28c578a92015209a480db30c0bf892168a9746b74808c30d909eeb3b5";"1,48762E+12";3;"low";86;8;6;"probably";9473;"English";"It was fun";10;1
"a5a9dcd28c578a92015209a480db30c0bf892168a9746b74808c30d909eeb3b5";"1,48762E+12";4;"high";22;2;2;"possibly";10714;"English";"It was fun";10;1
"a5a9dcd28c578a92015209a480db30c0bf892168a9746b74808c30d909eeb3b5";"1,48762E+12";5;"low";84;8;4;"possibly";15955;"English";"It was fun";10;1
"a5a9dcd28c578a92015209a480db30c0bf892168a9746b74808c30d909eeb3b5";"1,48762E+12";6;"low";88;8;8;"certainly";4302;"English";"It was fun";10;1
"a5a9dcd28c578a92015209a480db30c0bf892168a9746b74808c30d909eeb3b5";"1,48762E+12";7;"high";43;4;3;"probably";6948;"English";"It was fun";10;1
"a5a9dcd28c578a92015209a480db30c0bf892168a9746b74808c30d909eeb3b5";"1,48762E+12";8;"none";102;10;2;"certainlyNot";5345;"English";"It was fun";10;1
"a5a9dcd28c578a92015209a480db30c0bf892168a9746b74808c30d909eeb3b5";"1,48762E+12";9;"none";105;10;5;"possibly";5354;"English";"It was fun";10;1
"7711eb71ede60b7978c191750391d0bfde57cd95554755f41dff0279d0c7effe";"1,48762E+12";1;"high";22;2;2;"probably";11721;"english";"n/a";3;0
"7711eb71ede60b7978c191750391d0bfde57cd95554755f41dff0279d0c7effe";"1,48762E+12";2;"none";107;10;7;"possibly";7124;"english";"n/a";3;0
"7711eb71ede60b7978c191750391d0bfde57cd95554755f41dff0279d0c7effe";"1,48762E+12";3;"none";108;10;8;"probably";5336;"english";"n/a";3;0
"7711eb71ede60b7978c191750391d0bfde57cd95554755f41dff0279d0c7effe";"1,48762E+12";4;"none";103;10;3;"probablyNot";7179;"english";"n/a";3;0
"7711eb71ede60b7978c191750391d0bfde57cd95554755f41dff0279d0c7effe";"1,48762E+12";5;"low";82;8;2;"probablyNot";3844;"english";"n/a";3;0
"7711eb71ede60b7978c191750391d0bfde57cd95554755f41dff0279d0c7effe";"1,48762E+12";6;"high";42;4;2;"possibly";3633;"english";"n/a";3;0
"7711eb71ede60b7978c191750391d0bfde57cd95554755f41dff0279d0c7effe";"1,48762E+12";7;"high";43;4;3;"possibly";3681;"english";"n/a";3;0
"7711eb71ede60b7978c191750391d0bfde57cd95554755f41dff0279d0c7effe";"1,48762E+12";8;"low";80;8;0;"certainlyNot";2267;"english";"n/a";3;0
"7711eb71ede60b7978c191750391d0bfde57cd95554755f41dff0279d0c7effe";"1,48762E+12";9;"low";86;8;6;"probably";3071;"english";"n/a";3;0
"636c0fc0d65022f2b8c4151bc731de159f2b20a9ba9cc72b06a4c11ea8337d28";"1,48762E+12";1;"none";108;10;8;"certainly";9731;"english";NA;3;0
"636c0fc0d65022f2b8c4151bc731de159f2b20a9ba9cc72b06a4c11ea8337d28";"1,48762E+12";2;"low";82;8;2;"probablyNot";6004;"english";NA;3;0
"636c0fc0d65022f2b8c4151bc731de159f2b20a9ba9cc72b06a4c11ea8337d28";"1,48762E+12";3;"high";41;4;1;"probably";9585;"english";NA;3;0
"636c0fc0d65022f2b8c4151bc731de159f2b20a9ba9cc72b06a4c11ea8337d28";"1,48762E+12";4;"low";84;8;4;"possibly";4331;"english";NA;3;0
"636c0fc0d65022f2b8c4151bc731de159f2b20a9ba9cc72b06a4c11ea8337d28";"1,48762E+12";5;"high";42;4;2;"possibly";2443;"english";NA;3;0
"636c0fc0d65022f2b8c4151bc731de159f2b20a9ba9cc72b06a4c11ea8337d28";"1,48762E+12";6;"none";107;10;7;"probably";3263;"english";NA;3;0
"636c0fc0d65022f2b8c4151bc731de159f2b20a9ba9cc72b06a4c11ea8337d28";"1,48762E+12";7;"low";86;8;6;"probably";3035;"english";NA;3;0
"636c0fc0d65022f2b8c4151bc731de159f2b20a9ba9cc72b06a4c11ea8337d28";"1,48762E+12";8;"none";102;10;2;"possibly";4672;"english";NA;3;0
"636c0fc0d65022f2b8c4151bc731de159f2b20a9ba9cc72b06a4c11ea8337d28";"1,48762E+12";9;"high";43;4;3;"possibly";1717;"english";NA;3;0
"6e74f0168362525a662cdbfd0501709487e592f746be7f6b5ff76cf6305a8cdb";"1,48764E+12";1;"high";43;4;3;"probably";7070;"English";NA;4;0
"6e74f0168362525a662cdbfd0501709487e592f746be7f6b5ff76cf6305a8cdb";"1,48764E+12";2;"none";105;10;5;"possibly";7555;"English";NA;4;0
"6e74f0168362525a662cdbfd0501709487e592f746be7f6b5ff76cf6305a8cdb";"1,48764E+12";3;"low";84;8;4;"possibly";6191;"English";NA;4;0
"6e74f0168362525a662cdbfd0501709487e592f746be7f6b5ff76cf6305a8cdb";"1,48764E+12";4;"none";108;10;8;"probably";6601;"English";NA;4;0
"6e74f0168362525a662cdbfd0501709487e592f746be7f6b5ff76cf6305a8cdb";"1,48764E+12";5;"none";103;10;3;"probablyNot";4469;"English";NA;4;0
"6e74f0168362525a662cdbfd0501709487e592f746be7f6b5ff76cf6305a8cdb";"1,48764E+12";6;"high";41;4;1;"probablyNot";3695;"English";NA;4;0
"6e74f0168362525a662cdbfd0501709487e592f746be7f6b5ff76cf6305a8cdb";"1,48764E+12";7;"low";82;8;2;"probablyNot";3441;"English";NA;4;0
"6e74f0168362525a662cdbfd0501709487e592f746be7f6b5ff76cf6305a8cdb";"1,48764E+12";8;"low";88;8;8;"certainly";2820;"English";NA;4;0
"6e74f0168362525a662cdbfd0501709487e592f746be7f6b5ff76cf6305a8cdb";"1,48764E+12";9;"high";42;4;2;"possibly";3634;"English";NA;4;0
"ca1ab928664d782377356797c768710ffe48858273c425efc8ed4e1ad6046587";"1,48762E+12";1;"none";108;10;8;"probably";14767;"English";NA;9;3
"ca1ab928664d782377356797c768710ffe48858273c425efc8ed4e1ad6046587";"1,48762E+12";2;"low";84;8;4;"probablyNot";10256;"English";NA;9;3
"ca1ab928664d782377356797c768710ffe48858273c425efc8ed4e1ad6046587";"1,48762E+12";3;"high";22;2;2;"probablyNot";5471;"English";NA;9;3
"ca1ab928664d782377356797c768710ffe48858273c425efc8ed4e1ad6046587";"1,48762E+12";4;"low";86;8;6;"probably";9757;"English";NA;9;3
"ca1ab928664d782377356797c768710ffe48858273c425efc8ed4e1ad6046587";"1,48762E+12";5;"none";102;10;2;"probablyNot";4978;"English";NA;9;3
"ca1ab928664d782377356797c768710ffe48858273c425efc8ed4e1ad6046587";"1,48762E+12";6;"high";42;4;2;"possibly";3156;"English";NA;9;3
"ca1ab928664d782377356797c768710ffe48858273c425efc8ed4e1ad6046587";"1,48762E+12";7;"none";107;10;7;"certainly";5644;"English";NA;9;3
"ca1ab928664d782377356797c768710ffe48858273c425efc8ed4e1ad6046587";"1,48762E+12";8;"high";41;4;1;"probablyNot";2826;"English";NA;9;3
"ca1ab928664d782377356797c768710ffe48858273c425efc8ed4e1ad6046587";"1,48762E+12";9;"low";82;8;2;"probablyNot";3924;"English";NA;9;3
"c0c0cfa16b5ed1e9d2c77dbc250e4d04a3eba219ca576622c270eb62e15f5b5c";"1,48762E+12";1;"none";103;10;3;"probably";10699;"english";"great survey";5;1
"c0c0cfa16b5ed1e9d2c77dbc250e4d04a3eba219ca576622c270eb62e15f5b5c";"1,48762E+12";2;"none";105;10;5;"possibly";5567;"english";"great survey";5;1
"c0c0cfa16b5ed1e9d2c77dbc250e4d04a3eba219ca576622c270eb62e15f5b5c";"1,48762E+12";3;"low";80;8;0;"certainlyNot";4041;"english";"great survey";5;1
"c0c0cfa16b5ed1e9d2c77dbc250e4d04a3eba219ca576622c270eb62e15f5b5c";"1,48762E+12";4;"high";43;4;3;"probably";4548;"english";"great survey";5;1
"c0c0cfa16b5ed1e9d2c77dbc250e4d04a3eba219ca576622c270eb62e15f5b5c";"1,48762E+12";5;"high";22;2;2;"probably";4064;"english";"great survey";5;1
"c0c0cfa16b5ed1e9d2c77dbc250e4d04a3eba219ca576622c270eb62e15f5b5c";"1,48762E+12";6;"low";86;8;6;"probably";2421;"english";"great survey";5;1
"c0c0cfa16b5ed1e9d2c77dbc250e4d04a3eba219ca576622c270eb62e15f5b5c";"1,48762E+12";7;"none";102;10;2;"probablyNot";3547;"english";"great survey";5;1
"c0c0cfa16b5ed1e9d2c77dbc250e4d04a3eba219ca576622c270eb62e15f5b5c";"1,48762E+12";8;"high";41;4;1;"probablyNot";4079;"english";"great survey";5;1
"c0c0cfa16b5ed1e9d2c77dbc250e4d04a3eba219ca576622c270eb62e15f5b5c";"1,48762E+12";9;"low";82;8;2;"probablyNot";6163;"english";"great survey";5;1
"d99790f6fd0fb1a0349e3c65b24ad8dc9e33f2f990d7048c5c7a12f62b875b51";"1,48762E+12";1;"none";105;10;5;"possibly";13952;"English";"Interesting.";8;0
"d99790f6fd0fb1a0349e3c65b24ad8dc9e33f2f990d7048c5c7a12f62b875b51";"1,48762E+12";2;"low";88;8;8;"probably";5902;"English";"Interesting.";8;0
"d99790f6fd0fb1a0349e3c65b24ad8dc9e33f2f990d7048c5c7a12f62b875b51";"1,48762E+12";3;"none";103;10;3;"probablyNot";7284;"English";"Interesting.";8;0
"d99790f6fd0fb1a0349e3c65b24ad8dc9e33f2f990d7048c5c7a12f62b875b51";"1,48762E+12";4;"high";22;2;2;"possibly";6253;"English";"Interesting.";8;0
"d99790f6fd0fb1a0349e3c65b24ad8dc9e33f2f990d7048c5c7a12f62b875b51";"1,48762E+12";5;"low";84;8;4;"possibly";8246;"English";"Interesting.";8;0
"d99790f6fd0fb1a0349e3c65b24ad8dc9e33f2f990d7048c5c7a12f62b875b51";"1,48762E+12";6;"low";86;8;6;"probably";8773;"English";"Interesting.";8;0
"d99790f6fd0fb1a0349e3c65b24ad8dc9e33f2f990d7048c5c7a12f62b875b51";"1,48762E+12";7;"none";107;10;7;"probably";6957;"English";"Interesting.";8;0
"d99790f6fd0fb1a0349e3c65b24ad8dc9e33f2f990d7048c5c7a12f62b875b51";"1,48762E+12";8;"high";42;4;2;"possibly";5782;"English";"Interesting.";8;0
"d99790f6fd0fb1a0349e3c65b24ad8dc9e33f2f990d7048c5c7a12f62b875b51";"1,48762E+12";9;"high";20;2;0;"possibly";12221;"English";"Interesting.";8;0
"a0a6ea81d7294880fdd14936318f0d6e9670bdfc1e6bde16d3baadac08649465";"1,48762E+12";1;"high";43;4;3;"certainly";22932;"Tamil";"None";10;0
"a0a6ea81d7294880fdd14936318f0d6e9670bdfc1e6bde16d3baadac08649465";"1,48762E+12";2;"low";82;8;2;"probablyNot";15269;"Tamil";"None";10;0
"a0a6ea81d7294880fdd14936318f0d6e9670bdfc1e6bde16d3baadac08649465";"1,48762E+12";3;"none";103;10;3;"probablyNot";7946;"Tamil";"None";10;0
"a0a6ea81d7294880fdd14936318f0d6e9670bdfc1e6bde16d3baadac08649465";"1,48762E+12";4;"low";86;8;6;"probably";4801;"Tamil";"None";10;0
"a0a6ea81d7294880fdd14936318f0d6e9670bdfc1e6bde16d3baadac08649465";"1,48762E+12";5;"high";41;4;1;"probably";5701;"Tamil";"None";10;0
"a0a6ea81d7294880fdd14936318f0d6e9670bdfc1e6bde16d3baadac08649465";"1,48762E+12";6;"none";107;10;7;"probably";4098;"Tamil";"None";10;0
"a0a6ea81d7294880fdd14936318f0d6e9670bdfc1e6bde16d3baadac08649465";"1,48762E+12";7;"high";20;2;0;"certainlyNot";3852;"Tamil";"None";10;0
"a0a6ea81d7294880fdd14936318f0d6e9670bdfc1e6bde16d3baadac08649465";"1,48762E+12";8;"low";84;8;4;"possibly";7000;"Tamil";"None";10;0
"a0a6ea81d7294880fdd14936318f0d6e9670bdfc1e6bde16d3baadac08649465";"1,48762E+12";9;"none";102;10;2;"probablyNot";4281;"Tamil";"None";10;0
"98d4b89b460fee637eb3d2e56f7635787a87f8c2f268a892ce8e71281e96f14e";"1,48771E+12";1;"high";43;4;3;"probably";7567;"english";NA;7;2
"98d4b89b460fee637eb3d2e56f7635787a87f8c2f268a892ce8e71281e96f14e";"1,48771E+12";2;"low";80;8;0;"certainlyNot";7397;"english";NA;7;2
"98d4b89b460fee637eb3d2e56f7635787a87f8c2f268a892ce8e71281e96f14e";"1,48771E+12";3;"low";82;8;2;"probablyNot";6650;"english";NA;7;2
"98d4b89b460fee637eb3d2e56f7635787a87f8c2f268a892ce8e71281e96f14e";"1,48771E+12";4;"high";42;4;2;"probablyNot";4244;"english";NA;7;2
"98d4b89b460fee637eb3d2e56f7635787a87f8c2f268a892ce8e71281e96f14e";"1,48771E+12";5;"high";41;4;1;"probablyNot";4909;"english";NA;7;2
"98d4b89b460fee637eb3d2e56f7635787a87f8c2f268a892ce8e71281e96f14e";"1,48771E+12";6;"none";105;10;5;"possibly";3884;"english";NA;7;2
"98d4b89b460fee637eb3d2e56f7635787a87f8c2f268a892ce8e71281e96f14e";"1,48771E+12";7;"none";107;10;7;"probably";3969;"english";NA;7;2
"98d4b89b460fee637eb3d2e56f7635787a87f8c2f268a892ce8e71281e96f14e";"1,48771E+12";8;"low";84;8;4;"probably";3343;"english";NA;7;2
"98d4b89b460fee637eb3d2e56f7635787a87f8c2f268a892ce8e71281e96f14e";"1,48771E+12";9;"none";102;10;2;"probablyNot";5313;"english";NA;7;2
"7587540f235797220111f3c7e193fe7dd759f021c2a88b9ec6a4b339bdb3a7e8";"1,48764E+12";1;"low";86;8;6;"probably";7990;"English";NA;8;0
"7587540f235797220111f3c7e193fe7dd759f021c2a88b9ec6a4b339bdb3a7e8";"1,48764E+12";2;"high";20;2;0;"possibly";4209;"English";NA;8;0
"7587540f235797220111f3c7e193fe7dd759f021c2a88b9ec6a4b339bdb3a7e8";"1,48764E+12";3;"low";80;8;0;"probablyNot";3523;"English";NA;8;0
"7587540f235797220111f3c7e193fe7dd759f021c2a88b9ec6a4b339bdb3a7e8";"1,48764E+12";4;"low";88;8;8;"probably";1975;"English";NA;8;0
"7587540f235797220111f3c7e193fe7dd759f021c2a88b9ec6a4b339bdb3a7e8";"1,48764E+12";5;"high";42;4;2;"possibly";2968;"English";NA;8;0
"7587540f235797220111f3c7e193fe7dd759f021c2a88b9ec6a4b339bdb3a7e8";"1,48764E+12";6;"none";105;10;5;"possibly";2002;"English";NA;8;0
"7587540f235797220111f3c7e193fe7dd759f021c2a88b9ec6a4b339bdb3a7e8";"1,48764E+12";7;"none";108;10;8;"probably";6013;"English";NA;8;0
"7587540f235797220111f3c7e193fe7dd759f021c2a88b9ec6a4b339bdb3a7e8";"1,48764E+12";8;"none";103;10;3;"probablyNot";5589;"English";NA;8;0
"7587540f235797220111f3c7e193fe7dd759f021c2a88b9ec6a4b339bdb3a7e8";"1,48764E+12";9;"high";43;4;3;"possibly";3069;"English";NA;8;0
"7915d94315a0c0bf5144f6f0690008cfc4f1ea4c37059389191af9cee86b8aed";"1,48762E+12";1;"none";102;10;2;"possibly";22663;"English";"It was interesting.";10;0
"7915d94315a0c0bf5144f6f0690008cfc4f1ea4c37059389191af9cee86b8aed";"1,48762E+12";2;"none";108;10;8;"probably";24798;"English";"It was interesting.";10;0
"7915d94315a0c0bf5144f6f0690008cfc4f1ea4c37059389191af9cee86b8aed";"1,48762E+12";3;"low";82;8;2;"probablyNot";12590;"English";"It was interesting.";10;0
"7915d94315a0c0bf5144f6f0690008cfc4f1ea4c37059389191af9cee86b8aed";"1,48762E+12";4;"high";42;4;2;"possibly";6558;"English";"It was interesting.";10;0
"7915d94315a0c0bf5144f6f0690008cfc4f1ea4c37059389191af9cee86b8aed";"1,48762E+12";5;"high";22;2;2;"certainly";8178;"English";"It was interesting.";10;0
"7915d94315a0c0bf5144f6f0690008cfc4f1ea4c37059389191af9cee86b8aed";"1,48762E+12";6;"low";84;8;4;"possibly";9176;"English";"It was interesting.";10;0
"7915d94315a0c0bf5144f6f0690008cfc4f1ea4c37059389191af9cee86b8aed";"1,48762E+12";7;"low";86;8;6;"probably";9521;"English";"It was interesting.";10;0
"7915d94315a0c0bf5144f6f0690008cfc4f1ea4c37059389191af9cee86b8aed";"1,48762E+12";8;"high";43;4;3;"probably";7211;"English";"It was interesting.";10;0
"7915d94315a0c0bf5144f6f0690008cfc4f1ea4c37059389191af9cee86b8aed";"1,48762E+12";9;"none";105;10;5;"possibly";9182;"English";"It was interesting.";10;0
"c02075f7ef117e4784a141c39605852c99c874459a20b14f22b6c4a884114662";"1,48762E+12";1;"none";108;10;8;"certainly";11898;"English";NA;8;1
"c02075f7ef117e4784a141c39605852c99c874459a20b14f22b6c4a884114662";"1,48762E+12";2;"high";41;4;1;"certainlyNot";7354;"English";NA;8;1
"c02075f7ef117e4784a141c39605852c99c874459a20b14f22b6c4a884114662";"1,48762E+12";3;"high";22;2;2;"probably";9638;"English";NA;8;1
"c02075f7ef117e4784a141c39605852c99c874459a20b14f22b6c4a884114662";"1,48762E+12";4;"low";88;8;8;"certainly";6901;"English";NA;8;1
"c02075f7ef117e4784a141c39605852c99c874459a20b14f22b6c4a884114662";"1,48762E+12";5;"low";84;8;4;"possibly";9360;"English";NA;8;1
"c02075f7ef117e4784a141c39605852c99c874459a20b14f22b6c4a884114662";"1,48762E+12";6;"none";105;10;5;"possibly";12300;"English";NA;8;1
"c02075f7ef117e4784a141c39605852c99c874459a20b14f22b6c4a884114662";"1,48762E+12";7;"high";20;2;0;"possibly";6425;"English";NA;8;1
"c02075f7ef117e4784a141c39605852c99c874459a20b14f22b6c4a884114662";"1,48762E+12";8;"none";107;10;7;"probably";5758;"English";NA;8;1
"c02075f7ef117e4784a141c39605852c99c874459a20b14f22b6c4a884114662";"1,48762E+12";9;"low";80;8;0;"probablyNot";4456;"English";NA;8;1
"2f45df7654754d54deb0359b49b52db654857e3ab84f01003cf6d75d870eb96e";"1,48763E+12";1;"high";42;4;2;"possibly";19589;"English";NA;7;3
"2f45df7654754d54deb0359b49b52db654857e3ab84f01003cf6d75d870eb96e";"1,48763E+12";2;"high";22;2;2;"probablyNot";6100;"English";NA;7;3
"2f45df7654754d54deb0359b49b52db654857e3ab84f01003cf6d75d870eb96e";"1,48763E+12";3;"low";84;8;4;"possibly";6678;"English";NA;7;3
"2f45df7654754d54deb0359b49b52db654857e3ab84f01003cf6d75d870eb96e";"1,48763E+12";4;"none";108;10;8;"certainly";4948;"English";NA;7;3
"2f45df7654754d54deb0359b49b52db654857e3ab84f01003cf6d75d870eb96e";"1,48763E+12";5;"low";82;8;2;"probablyNot";7789;"English";NA;7;3
"2f45df7654754d54deb0359b49b52db654857e3ab84f01003cf6d75d870eb96e";"1,48763E+12";6;"low";88;8;8;"certainly";6108;"English";NA;7;3
"2f45df7654754d54deb0359b49b52db654857e3ab84f01003cf6d75d870eb96e";"1,48763E+12";7;"none";107;10;7;"certainly";5790;"English";NA;7;3
"2f45df7654754d54deb0359b49b52db654857e3ab84f01003cf6d75d870eb96e";"1,48763E+12";8;"none";102;10;2;"possibly";3726;"English";NA;7;3
"2f45df7654754d54deb0359b49b52db654857e3ab84f01003cf6d75d870eb96e";"1,48763E+12";9;"high";43;4;3;"probably";7063;"English";NA;7;3
"f809675416f0db7a8d18151e41629c022f77d8cf18e815e17707ebf0ba6aaed8";"1,48763E+12";1;"none";105;10;5;"possibly";8444;"English";"none";10;7
"f809675416f0db7a8d18151e41629c022f77d8cf18e815e17707ebf0ba6aaed8";"1,48763E+12";2;"high";43;4;3;"possibly";10968;"English";"none";10;7
"f809675416f0db7a8d18151e41629c022f77d8cf18e815e17707ebf0ba6aaed8";"1,48763E+12";3;"low";82;8;2;"probablyNot";8353;"English";"none";10;7
"f809675416f0db7a8d18151e41629c022f77d8cf18e815e17707ebf0ba6aaed8";"1,48763E+12";4;"none";102;10;2;"probablyNot";10743;"English";"none";10;7
"f809675416f0db7a8d18151e41629c022f77d8cf18e815e17707ebf0ba6aaed8";"1,48763E+12";5;"high";41;4;1;"probablyNot";4960;"English";"none";10;7
"f809675416f0db7a8d18151e41629c022f77d8cf18e815e17707ebf0ba6aaed8";"1,48763E+12";6;"high";42;4;2;"possibly";4022;"English";"none";10;7
"f809675416f0db7a8d18151e41629c022f77d8cf18e815e17707ebf0ba6aaed8";"1,48763E+12";7;"low";88;8;8;"certainly";12883;"English";"none";10;7
"f809675416f0db7a8d18151e41629c022f77d8cf18e815e17707ebf0ba6aaed8";"1,48763E+12";8;"low";86;8;6;"probably";4558;"English";"none";10;7
"f809675416f0db7a8d18151e41629c022f77d8cf18e815e17707ebf0ba6aaed8";"1,48763E+12";9;"none";108;10;8;"probably";14034;"English";"none";10;7
"f0a3392d304d00ab2529980a7282a3a85c702e3b8a8d350725ce3967e4f7a58b";"1,48762E+12";1;"high";22;2;2;"certainly";17892;"English";NA;10;0
"f0a3392d304d00ab2529980a7282a3a85c702e3b8a8d350725ce3967e4f7a58b";"1,48762E+12";2;"low";80;8;0;"probablyNot";16570;"English";NA;10;0
"f0a3392d304d00ab2529980a7282a3a85c702e3b8a8d350725ce3967e4f7a58b";"1,48762E+12";3;"low";86;8;6;"possibly";7966;"English";NA;10;0
"f0a3392d304d00ab2529980a7282a3a85c702e3b8a8d350725ce3967e4f7a58b";"1,48762E+12";4;"high";42;4;2;"possibly";7654;"English";NA;10;0
"f0a3392d304d00ab2529980a7282a3a85c702e3b8a8d350725ce3967e4f7a58b";"1,48762E+12";5;"high";41;4;1;"possibly";18340;"English";NA;10;0
"f0a3392d304d00ab2529980a7282a3a85c702e3b8a8d350725ce3967e4f7a58b";"1,48762E+12";6;"low";82;8;2;"probablyNot";7144;"English";NA;10;0
"f0a3392d304d00ab2529980a7282a3a85c702e3b8a8d350725ce3967e4f7a58b";"1,48762E+12";7;"none";108;10;8;"probably";4934;"English";NA;10;0
