"id","itemTime","trialnumber","kind","expression","access","observation","state","RT","language","comments","engagement","difficulty"
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480201837227,1,"c","probLik",6,4,NA,26777,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480201855784,2,"f","mightLik",NA,NA,6,18556,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480201882790,3,"c","cerLik",7,6,NA,27005,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480201893132,4,"f","cerUnlik",NA,NA,2,10340,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480201904720,5,"c","isLik",7,6,NA,11586,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480201909201,6,"f","mightPos",NA,NA,4,4479,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480201928616,7,"c","isPos",6,3,NA,19414,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480201935209,8,"f","probPos",NA,NA,6,6592,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480201944645,9,"c","isUnlik",7,2,NA,9434,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480201948656,10,"f","isPos",NA,NA,5,4010,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480201963105,11,"c","cerPos",6,4,NA,14446,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480201967505,12,"f","isUnlik",NA,NA,2,4399,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480201977332,13,"c","mightLik",6,4,NA,9826,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480201980455,14,"f","isLik",NA,NA,8,3120,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480201993255,15,"c","mightUnlik",6,2,NA,12799,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480201997646,16,"f","probLik",NA,NA,6,4389,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480202005036,17,"c","mightPos",6,3,NA,7388,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480202008852,18,"f","mightUnlik",NA,NA,3,3814,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480202015682,19,"c","probPos",8,4,NA,6829,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480202018652,20,"f","probUnlik",NA,NA,3,2968,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480202027892,21,"c","probUnlik",8,2,NA,9238,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480202031292,22,"f","cerPos",NA,NA,8,3398,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480202040156,23,"c","cerUnlik",8,2,NA,8862,"English",NA,7,4
"8542b06a789e466a264655e3a706f55f8aaf1b7ba455544f62afe0239f7b694a",1480202044620,24,"f","cerLik",NA,NA,7,4462,"English",NA,7,4
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194551408,1,"c","isLik",7,6,NA,13894,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194559055,2,"f","cerUnlik",NA,NA,1,7645,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194565623,3,"c","isPos",5,4,NA,6566,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194572424,4,"f","isUnlik",NA,NA,3,6799,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194579255,5,"c","mightLik",6,3,NA,6830,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194586412,6,"f","mightUnlik",NA,NA,3,7154,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194594755,7,"c","probPos",2,1,NA,8342,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194600160,8,"f","mightPos",NA,NA,3,5403,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194607669,9,"c","cerLik",5,5,NA,7508,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194614126,10,"f","isLik",NA,NA,7,6456,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194620384,11,"c","mightUnlik",3,1,NA,6256,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194627667,12,"f","cerPos",NA,NA,5,7281,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194636851,13,"c","isUnlik",7,2,NA,9183,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194646254,14,"f","probLik",NA,NA,4,9402,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194653211,15,"c","cerPos",6,3,NA,6955,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194658772,16,"f","cerLik",NA,NA,7,5560,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194665120,17,"c","probLik",6,6,NA,6347,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194669369,18,"f","mightLik",NA,NA,3,4248,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194675538,19,"c","mightPos",5,4,NA,6167,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194678232,20,"f","isPos",NA,NA,5,2692,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194687110,21,"c","cerUnlik",8,0,NA,8876,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194692912,22,"f","probUnlik",NA,NA,4,5801,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194707285,23,"c","probUnlik",7,3,NA,14372,"English",NA,10,2
"c605ccb5430464dd967320ae260fa92a0c5e0ffa57f51735b91df9090c5cec8e",1480194712971,24,"f","probPos",NA,NA,4,5684,"English",NA,10,2
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194857730,1,"c","probUnlik",6,5,NA,38015,"english","It was fine, thanks.",8,4
"d4af4d75f4c25eacf3f8305f6ec5cb6a43f5ac1096b538b852f84d1d530296dc",1480194880332,2,"f","probUnlik",NA,NA,6,22600,"english","It was fine, thanks.",8,4
