"id","itemTime","trialnumber","value","access","observation","answer1","answer2","RT","language","comments","engagement","difficulty"
"6905ef4b2a5f2d427f275190cbdbdc3f65f785b7b2e32c59198c9942336d5930",1456171479347,1,107,10,7,"is_certainly","probable",18214,"English",NA,"6",4
"6905ef4b2a5f2d427f275190cbdbdc3f65f785b7b2e32c59198c9942336d5930",1456171487254,2,41,4,1,"might_be","possible",7905,"English",NA,"6",4
"6905ef4b2a5f2d427f275190cbdbdc3f65f785b7b2e32c59198c9942336d5930",1456171502803,3,42,4,2,"is_certainly","possible",15547,"English",NA,"6",4
"6905ef4b2a5f2d427f275190cbdbdc3f65f785b7b2e32c59198c9942336d5930",1456171511317,4,108,10,8,"is","likely",8508,"English",NA,"6",4
"6905ef4b2a5f2d427f275190cbdbdc3f65f785b7b2e32c59198c9942336d5930",1456171520312,5,84,8,4,"is","possible",8993,"English",NA,"6",4
"6905ef4b2a5f2d427f275190cbdbdc3f65f785b7b2e32c59198c9942336d5930",1456171529369,6,105,10,5,"is_certainly","likely",9055,"English",NA,"6",4
"6905ef4b2a5f2d427f275190cbdbdc3f65f785b7b2e32c59198c9942336d5930",1456171535521,7,102,10,2,"is","unlikely",6150,"English",NA,"6",4
"6905ef4b2a5f2d427f275190cbdbdc3f65f785b7b2e32c59198c9942336d5930",1456171543632,8,80,8,0,"is","unlikely",8109,"English",NA,"6",4
"6905ef4b2a5f2d427f275190cbdbdc3f65f785b7b2e32c59198c9942336d5930",1456171550110,9,43,4,3,"is_probably","likely",6477,"English",NA,"6",4
"6905ef4b2a5f2d427f275190cbdbdc3f65f785b7b2e32c59198c9942336d5930",1456171566375,10,103,10,3,"might_be","possible",16262,"English",NA,"6",4
"6905ef4b2a5f2d427f275190cbdbdc3f65f785b7b2e32c59198c9942336d5930",1456171572276,11,86,8,6,"is","likely",5896,"English",NA,"6",4
"6905ef4b2a5f2d427f275190cbdbdc3f65f785b7b2e32c59198c9942336d5930",1456171577713,12,82,8,2,"might_be","possible",5435,"English",NA,"6",4
"e57a5110c1b9280ede3026d5857ec45aa9cd70d55874b2cada21dd38448e1458",1456178885616,1,86,8,6,"is_probably","probable",18169,"english",NA,"6",4
"e57a5110c1b9280ede3026d5857ec45aa9cd70d55874b2cada21dd38448e1458",1456178893945,2,84,8,4,"might_be","possible",8327,"english",NA,"6",4
"e57a5110c1b9280ede3026d5857ec45aa9cd70d55874b2cada21dd38448e1458",1456178905165,3,103,10,3,"is_certainly","probable",11218,"english",NA,"6",4
"e57a5110c1b9280ede3026d5857ec45aa9cd70d55874b2cada21dd38448e1458",1456178916580,4,43,4,3,"is_probably","likely",11414,"english",NA,"6",4
"e57a5110c1b9280ede3026d5857ec45aa9cd70d55874b2cada21dd38448e1458",1456178934408,5,105,10,5,"might_be","possible",17826,"english",NA,"6",4
"e57a5110c1b9280ede3026d5857ec45aa9cd70d55874b2cada21dd38448e1458",1456178942727,6,88,8,8,"is_certainly","probable",8317,"english",NA,"6",4
"e57a5110c1b9280ede3026d5857ec45aa9cd70d55874b2cada21dd38448e1458",1456178951907,7,80,8,0,"is_probably","unlikely",9179,"english",NA,"6",4
"e57a5110c1b9280ede3026d5857ec45aa9cd70d55874b2cada21dd38448e1458",1456178962273,8,102,10,2,"might_be","unlikely",10364,"english",NA,"6",4
"e57a5110c1b9280ede3026d5857ec45aa9cd70d55874b2cada21dd38448e1458",1456178968975,9,42,4,2,"might_be","possible",6701,"english",NA,"6",4
"e57a5110c1b9280ede3026d5857ec45aa9cd70d55874b2cada21dd38448e1458",1456178976298,10,82,8,2,"is_probably","unlikely",7321,"english",NA,"6",4
"e57a5110c1b9280ede3026d5857ec45aa9cd70d55874b2cada21dd38448e1458",1456178982661,11,20,2,0,"is_certainly","unlikely",6361,"english",NA,"6",4
"e57a5110c1b9280ede3026d5857ec45aa9cd70d55874b2cada21dd38448e1458",1456178991304,12,107,10,7,"might_be","probable",8642,"english",NA,"6",4
"44f51f86802d362fc9fbcf8717a1c951c8e35a443cd2a9541fcbbe0ef913029c",1456259814763,1,41,4,1,"might_be","unlikely",30524,"English",NA,"8",2
"44f51f86802d362fc9fbcf8717a1c951c8e35a443cd2a9541fcbbe0ef913029c",1456259828445,2,108,10,8,"is_certainly","likely",13667,"English",NA,"8",2
"44f51f86802d362fc9fbcf8717a1c951c8e35a443cd2a9541fcbbe0ef913029c",1456259838293,3,103,10,3,"is_certainly","unlikely",9840,"English",NA,"8",2
"44f51f86802d362fc9fbcf8717a1c951c8e35a443cd2a9541fcbbe0ef913029c",1456259847412,4,105,10,5,"is_certainly","possible",9112,"English",NA,"8",2
"44f51f86802d362fc9fbcf8717a1c951c8e35a443cd2a9541fcbbe0ef913029c",1456259860838,5,88,8,8,"is_certainly","likely",13418,"English",NA,"8",2
"44f51f86802d362fc9fbcf8717a1c951c8e35a443cd2a9541fcbbe0ef913029c",1456259878779,6,42,4,2,"might_be","possible",17935,"English",NA,"8",2
"44f51f86802d362fc9fbcf8717a1c951c8e35a443cd2a9541fcbbe0ef913029c",1456259885464,7,82,8,2,"might_be","unlikely",6677,"English",NA,"8",2
"44f51f86802d362fc9fbcf8717a1c951c8e35a443cd2a9541fcbbe0ef913029c",1456259891792,8,86,8,6,"might_be","likely",6316,"English",NA,"8",2
